"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21","shouldRejectQuantityGreaterThanStock()","","2026-07-13","broken","2026-07-13","","com.shopkart.api.tests.OutOfStockTest","com.shopkart.api.tests.OutOfStockTest","shouldRejectQuantityGreaterThanStock"
"","14","Another customer cannot read someone else's order","","2026-07-13","broken","2026-07-13","","Orders are visible only to their owner","Another customer cannot read someone else's order",""
"","0","shouldReturnUnauthorizedWithoutToken()","","2026-07-13","skipped","2026-07-13","","com.shopkart.api.tests.CartApiTest","com.shopkart.api.tests.CartApiTest","shouldReturnUnauthorizedWithoutToken"
"","235","shouldValidateProductSearchFromUiAndApi()","","2026-07-13","broken","2026-07-13","","com.shopkart.e2e.ProductSearchE2ETest","com.shopkart.e2e.ProductSearchE2ETest","shouldValidateProductSearchFromUiAndApi"
"","0","shouldAddMultipleItemsToCart()","","2026-07-13","skipped","2026-07-13","","com.shopkart.api.tests.CartApiTest","com.shopkart.api.tests.CartApiTest","shouldAddMultipleItemsToCart"
"","0","shouldReturnNotFoundForInvalidCart()","","2026-07-13","skipped","2026-07-13","","com.shopkart.api.tests.CartApiTest","com.shopkart.api.tests.CartApiTest","shouldReturnNotFoundForInvalidCart"
"","23","shouldRejectOutOfStockProduct()","","2026-07-13","broken","2026-07-13","","com.shopkart.api.tests.OutOfStockTest","com.shopkart.api.tests.OutOfStockTest","shouldRejectOutOfStockProduct"
"","23","shouldRejectUnknownSku()","","2026-07-13","broken","2026-07-13","","com.shopkart.api.tests.OutOfStockTest","com.shopkart.api.tests.OutOfStockTest","shouldRejectUnknownSku"
"","20","anotherCustomerShouldReceive403()","","2026-07-13","broken","2026-07-13","","com.shopkart.api.tests.OrderSecurityTest","com.shopkart.api.tests.OrderSecurityTest","anotherCustomerShouldReceive403"
"","1209","shouldNotCancelOrderTwice()","","2026-07-13","broken","2026-07-13","","com.shopkart.api.tests.CancelOrderTest","com.shopkart.api.tests.CancelOrderTest","shouldNotCancelOrderTwice"
"","17","Cancel a placed order","","2026-07-13","broken","2026-07-13","","Cancel order rules","Cancel a placed order",""
"","24","shouldCancelPlacedOrder()","","2026-07-13","broken","2026-07-13","","com.shopkart.api.tests.CancelOrderTest","com.shopkart.api.tests.CancelOrderTest","shouldCancelPlacedOrder"
"","18","Cart total equals quantity multiplied by price","","2026-07-13","broken","2026-07-13","","Cart Totals","Cart total equals quantity multiplied by price",""
"","0","shouldAddSingleItemToCart()","","2026-07-13","skipped","2026-07-13","","com.shopkart.api.tests.CartApiTest","com.shopkart.api.tests.CartApiTest","shouldAddSingleItemToCart"
"","225","A logged-in customer checks out a two-item cart","","2026-07-13","broken","2026-07-13","","Checkout places an order and the backend agrees","A logged-in customer checks out a two-item cart",""
"","27","Quantity exceeds stock","","2026-07-13","broken","2026-07-13","","Out of stock","Quantity exceeds stock",""
"","208","Search returns matching products","","2026-07-13","broken","2026-07-13","","Product Search","Search returns matching products",""
"","12","shouldReturn404ForUnknownOrder()","","2026-07-13","broken","2026-07-13","","com.shopkart.api.tests.CancelOrderTest","com.shopkart.api.tests.CancelOrderTest","shouldReturn404ForUnknownOrder"
"","0","shouldCreateCart()","","2026-07-13","skipped","2026-07-13","","com.shopkart.api.tests.CartApiTest","com.shopkart.api.tests.CartApiTest","shouldCreateCart"
"","16","ownerShouldAccessOwnOrder()","","2026-07-13","broken","2026-07-13","","com.shopkart.api.tests.OrderSecurityTest","com.shopkart.api.tests.OrderSecurityTest","ownerShouldAccessOwnOrder"
"","7481","shouldPlaceOrderSuccessfully()","","2026-07-13","broken","2026-07-13","","com.shopkart.e2e.CheckoutE2ETest","com.shopkart.e2e.CheckoutE2ETest","shouldPlaceOrderSuccessfully"
"","0","shouldGetCart()","","2026-07-13","skipped","2026-07-13","","com.shopkart.api.tests.CartApiTest","com.shopkart.api.tests.CartApiTest","shouldGetCart"
"","14","shouldRejectNegativeQuantity()","","2026-07-13","broken","2026-07-13","","com.shopkart.api.tests.OutOfStockTest","com.shopkart.api.tests.OutOfStockTest","shouldRejectNegativeQuantity"
