"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12","shouldCancelPlacedOrder()","","2026-07-13","broken","2026-07-13","","com.shopkart.api.tests.CancelOrderTest","com.shopkart.api.tests.CancelOrderTest","shouldCancelPlacedOrder"
"","0","shouldAddSingleItemToCart()","","2026-07-13","skipped","2026-07-13","","com.shopkart.api.tests.CartApiTest","com.shopkart.api.tests.CartApiTest","shouldAddSingleItemToCart"
"","0","shouldGetCart()","","2026-07-13","skipped","2026-07-13","","com.shopkart.api.tests.CartApiTest","com.shopkart.api.tests.CartApiTest","shouldGetCart"
"","0","shouldReturnUnauthorizedWithoutToken()","","2026-07-13","skipped","2026-07-13","","com.shopkart.api.tests.CartApiTest","com.shopkart.api.tests.CartApiTest","shouldReturnUnauthorizedWithoutToken"
"","11","ownerShouldAccessOwnOrder()","","2026-07-13","broken","2026-07-13","","com.shopkart.api.tests.OrderSecurityTest","com.shopkart.api.tests.OrderSecurityTest","ownerShouldAccessOwnOrder"
"","8","shouldRejectUnknownSku()","","2026-07-13","broken","2026-07-13","","com.shopkart.api.tests.OutOfStockTest","com.shopkart.api.tests.OutOfStockTest","shouldRejectUnknownSku"
"","8","shouldRejectOutOfStockProduct()","","2026-07-13","broken","2026-07-13","","com.shopkart.api.tests.OutOfStockTest","com.shopkart.api.tests.OutOfStockTest","shouldRejectOutOfStockProduct"
"","0","shouldReturnNotFoundForInvalidCart()","","2026-07-13","skipped","2026-07-13","","com.shopkart.api.tests.CartApiTest","com.shopkart.api.tests.CartApiTest","shouldReturnNotFoundForInvalidCart"
"","13","shouldReturn404ForUnknownOrder()","","2026-07-13","broken","2026-07-13","","com.shopkart.api.tests.CancelOrderTest","com.shopkart.api.tests.CancelOrderTest","shouldReturn404ForUnknownOrder"
"","11","anotherCustomerShouldReceive403()","","2026-07-13","broken","2026-07-13","","com.shopkart.api.tests.OrderSecurityTest","com.shopkart.api.tests.OrderSecurityTest","anotherCustomerShouldReceive403"
"","9","shouldRejectNegativeQuantity()","","2026-07-13","broken","2026-07-13","","com.shopkart.api.tests.OutOfStockTest","com.shopkart.api.tests.OutOfStockTest","shouldRejectNegativeQuantity"
"","0","shouldAddMultipleItemsToCart()","","2026-07-13","skipped","2026-07-13","","com.shopkart.api.tests.CartApiTest","com.shopkart.api.tests.CartApiTest","shouldAddMultipleItemsToCart"
"","0","shouldCreateCart()","","2026-07-13","skipped","2026-07-13","","com.shopkart.api.tests.CartApiTest","com.shopkart.api.tests.CartApiTest","shouldCreateCart"
"","815","shouldNotCancelOrderTwice()","","2026-07-13","broken","2026-07-13","","com.shopkart.api.tests.CancelOrderTest","com.shopkart.api.tests.CancelOrderTest","shouldNotCancelOrderTwice"
"","8","shouldRejectQuantityGreaterThanStock()","","2026-07-13","broken","2026-07-13","","com.shopkart.api.tests.OutOfStockTest","com.shopkart.api.tests.OutOfStockTest","shouldRejectQuantityGreaterThanStock"
